index,adc,desired_current_thirds_ma,actual_current_thirds_ma
944,1001,-1200,-1009
945,1007,-1200,-569
946,1005,-1200,-943
947,1012,-1200,-802
948,1013,-1200,-965
949,1009,-1200,-762
950,1018,-1200,-964
951,1022,-1200,-737
952,1031,-1200,-869
953,1035,-1200,-853
954,1044,-1200,-836
955,1050,-1200,-896
956,1071,-1200,-881
957,1073,-1200,-929
958,1053,-1200,-791
959,1057,-1200,-874
960,1056,-1200,-899
961,1061,-1200,-900
962,1065,-1200,-849
963,1062,-1200,-788
964,1072,-1200,-750
965,1083,-1200,-845
966,1085,-1200,-847
967,1102,-1200,-805
968,1101,-1200,-847
969,1102,-1200,-801
970,1111,-1200,-798
971,1113,-1200,-783
972,1118,-1200,-751
973,1125,-1200,-794
974,1137,-1200,-760
975,1128,-1200,-775
976,1132,-1200,-705
977,1134,-1200,-688
978,1139,-1200,-741
979,1145,-1200,-732
980,1150,-1200,-738
981,1153,-1200,-631
982,1160,-1200,-639
983,1158,-1200,-708
984,1166,-1200,-709
985,1181,-1200,-709
986,1188,-1200,-713
987,1189,-1200,-623
988,1189,-1200,-691
989,1202,-1200,-679
990,1193,-1200,-689
991,1201,-1200,-686
992,1202,-1200,-639
993,1196,-1200,-686
994,1218,-1200,-648
995,1231,-1200,-672
996,1234,-1200,-676
997,1232,-1200,-645
998,1227,-1200,-676
999,1241,-1200,-657
1000,1247,346,-605
1001,1260,372,1041
1002,1256,364,-314
1003,1260,372,1263
1004,1264,380,-119
1005,1272,396,336
1006,1279,410,-106
1007,1287,426,521
1008,1291,434,-520
1009,1295,442,1465
1010,1306,464,-238
1011,1301,454,1000
1012,1305,462,-71
1013,1302,456,649
1014,1306,464,-563
1015,1310,472,1328
1016,1317,486,-208
1017,1323,498,773
1018,1332,516,-517
1019,1341,534,1762
1020,1351,554,400
1021,1350,552,-416
1022,1347,546,1203
1023,1355,562,33
1024,1353,558,539
1025,1357,566,-354
1026,1363,578,1717
1027,1387,626,-468
1028,1369,590,1335
1029,1377,606,-422
1030,1386,624,1408
1031,1392,636,41
1032,1394,640,692
1033,1396,644,-478
1034,1395,642,2144
1035,1399,650,-291
1036,1399,650,926
1037,1405,662,-655
1038,1412,676,1945
1039,1414,680,171
1040,1415,682,397
1041,1418,688,-146
1042,1421,694,1296
1043,1430,712,-695
1044,1435,722,1143
1045,1453,758,-448
1046,1438,728,1512
1047,1442,736,-571
1048,1437,726,1946
1049,1439,730,83
1050,1440,732,560
1051,1447,746,-188
1052,1452,756,787
1053,1452,756,-507
1054,1467,786,1606
1055,1472,796,-615
1056,1473,798,2003
1057,1490,832,-138
1058,1479,810,1279
1059,1461,774,-652
1060,1480,812,1162
1061,1491,834,-376
1062,1489,830,1322
1063,1495,842,-1095
1064,1493,838,2324
1065,1505,862,196
1066,1508,868,421
1067,1507,866,206
1068,1509,870,702
1069,1513,878,-82
1070,1513,878,968
1071,1529,910,-905
1072,1508,868,2417
1073,1517,886,191
1074,1516,884,459
1075,1522,896,139
1076,1526,904,935
1077,1534,920,-536
1078,1541,934,1811
1079,1555,962,-683
1080,1553,958,2174
1081,1557,966,-626
1082,1561,974,2356
1083,1559,970,-289
1084,1556,964,689
1085,1559,970,1045
1086,1559,970,-1069
1087,1561,974,2077
1088,1564,980,-400
1089,1568,988,1124
1090,1572,996,-247
1091,1565,982,1264
1092,1574,1000,213
1093,1572,996,259
1094,1571,994,897
1095,1577,1006,-409
1096,1574,1000,1887
1097,1581,1014,129
1098,1562,976,588
1099,1577,1006,625
1100,1572,996,-157
1101,1581,1014,1571
1102,1586,1024,-582
1103,1582,1016,2109
1104,1617,1086,-504
1105,1589,1030,1172
1106,1600,1052,-154
1107,1604,1060,1037
1108,1604,1060,-251
1109,1610,1072,1683
1110,1612,1076,-500
1111,1612,1076,2010
1112,1620,1092,-687
1113,1610,1072,1498
1114,1618,1088,-1232
1115,1615,1082,2258
1116,1620,1092,-1571
1117,1617,1086,2598
1118,1640,1132,-20
